Estimadores,Profundidade,Min. Split,Pesos,F1 Macro (Val),F1 Macro (Test),Tempo (s)
200,-,5,Bal. Subsample,0.93,0.91,7
200,-,2,Bal. Subsample,0.93,0.91,7
100,-,5,Bal. Subsample,0.93,0.91,4
50,-,5,Bal. Subsample,0.93,0.91,2
100,-,2,Bal. Subsample,0.92,0.91,4
50,-,2,Bal. Subsample,0.92,0.91,2
100,-,2,-,0.92,0.90,2
200,-,2,-,0.92,0.90,5
200,-,5,-,0.92,0.90,3
50,-,5,-,0.92,0.90,1
100,-,5,-,0.92,0.90,2
50,-,2,-,0.92,0.90,1
200,10,2,-,0.89,0.88,3
100,10,2,-,0.89,0.88,2
50,10,2,-,0.89,0.87,1
50,10,5,-,0.89,0.87,1
100,10,5,-,0.89,0.87,1
200,10,5,-,0.88,0.87,3
50,10,2,Bal. Subsample,0.82,0.81,2
50,10,5,Bal. Subsample,0.81,0.81,2
200,10,2,Bal. Subsample,0.81,0.81,8
100,10,2,Bal. Subsample,0.81,0.81,4
100,10,5,Bal. Subsample,0.81,0.80,4
200,10,5,Bal. Subsample,0.80,0.80,8
