Kernel,C,Gamma,Pesos,F1 Macro (Val),F1 Macro (Test),Tempo (s)
RBF,2,Scale,-,0.91,0.91,38
RBF,2,Auto,-,0.91,0.91,35
RBF,1,Scale,-,0.90,0.90,32
RBF,1,Auto,-,0.90,0.90,31
Poly,2,Scale,-,0.88,0.89,58
Poly,2,Auto,-,0.88,0.89,64
Poly,1,Scale,-,0.87,0.87,50
Poly,1,Auto,-,0.87,0.87,44
RBF,2,Scale,Balanceado,0.86,0.85,84
RBF,2,Auto,Balanceado,0.85,0.84,87
Poly,2,Scale,Balanceado,0.83,0.82,118
RBF,1,Scale,Balanceado,0.83,0.82,104
Poly,2,Auto,Balanceado,0.82,0.81,120
RBF,1,Auto,Balanceado,0.82,0.81,112
Poly,1,Scale,Balanceado,0.81,0.80,114
Poly,1,Auto,Balanceado,0.80,0.80,128
Linear,2,Scale,-,0.80,0.79,2
Linear,1,Scale,-,0.79,0.79,2
Sigmoid,1,Auto,-,0.67,0.67,144
Sigmoid,2,Auto,-,0.67,0.67,134
Sigmoid,1,Scale,-,0.65,0.64,33
Sigmoid,2,Scale,-,0.62,0.61,33
Linear,1,Scale,Balanceado,0.60,0.62,2
Linear,2,Scale,Balanceado,0.60,0.62,36
Sigmoid,1,Auto,Balanceado,0.50,0.50,355
Sigmoid,2,Auto,Balanceado,0.50,0.50,355
Sigmoid,1,Scale,Balanceado,0.49,0.50,358
Sigmoid,2,Scale,Balanceado,0.49,0.49,369
