Kernel,C,Gamma,Pesos de classe,F1 Macro,Tempo (s)
RBF,2,Auto,Balanceado,0.96,221
RBF,2,Scale,Balanceado,0.96,219
RBF,2,Auto,-,0.95,221
RBF,2,Scale,-,0.95,219
RBF,1,Scale,-,0.95,217
RBF,1,Auto,-,0.95,231
Poly,2,Auto,Balanceado,0.94,410
Poly,2,Auto,-,0.94,410
Poly,1,Auto,Balanceado,0.94,339
Poly,1,Scale,Balanceado,0.94,403
Poly,2,Scale,Balanceado,0.94,891
Poly,2,Scale,-,0.94,891
RBF,1,Auto,Balanceado,0.94,231
Linear,2,Auto,-,0.94,-
Linear,2,Scale,-,0.94,71
Linear,1,Scale,-,0.94,52
Linear,1,Auto,-,0.94,-
RBF,1,Scale,Balanceado,0.94,217
Poly,1,Auto,-,0.93,339
Poly,1,Scale,-,0.93,403
Linear,1,Scale,Balanceado,0.93,52
Linear,1,Auto,Balanceado,0.93,-
Linear,2,Scale,Balanceado,0.87,71
Linear,2,Auto,Balanceado,0.87,-
Sigmoid,1,Scale,-,0.75,58
Sigmoid,1,Auto,-,0.75,58
Sigmoid,2,Auto,-,0.75,50
Sigmoid,2,Scale,-,0.75,50
Sigmoid,1,Auto,Balanceado,0.62,58
Sigmoid,1,Scale,Balanceado,0.62,58
Sigmoid,2,Auto,Balanceado,0.62,50
Sigmoid,2,Scale,Balanceado,0.62,50
